regulon,mean_RI,max_RI,std_RI,mean_AUC,max_AUC,n_active_cell_types,rank,lineage
REL_+,0.0274346004736503,0.031293317622636055,0.0023242129569352667,0.0780335196153846,0.088672542,13,157,Myeloid
ZSCAN18_+,0.027434338371603976,0.03442888961349291,0.0022747767096148084,0.01266616223076923,0.015784038,13,158,Myeloid
MEF2A_+,0.02743423561628918,0.0328063728214875,0.0022516915664040106,0.05413868484615384,0.064393724,13,159,Myeloid
ZNF783_+,0.027434079290243732,0.03269387416006133,0.0022184140260089933,0.0626616826923077,0.074284212,13,160,Myeloid
PHF20_+,0.027433964037425186,0.033180253496478365,0.002193001070652859,0.05151338853846154,0.0619455,13,161,Myeloid
SP4_+,0.027433750259973966,0.03133761318509927,0.0021442833170539424,0.022949248846153847,0.026113848,13,162,Myeloid
TBX21_+,0.027433744213055673,0.030825171314851737,0.0021426667722209366,0.03292911446153846,0.036876692,13,163,Myeloid
NFATC2_+,0.027433330686573276,0.03080279313491907,0.002048196641985684,0.04707684661538462,0.052683414,13,164,Myeloid
NFATC3_+,0.027433321538770795,0.03219669459950745,0.0020470478965849874,0.034081353307692304,0.039808811,13,165,Myeloid
PHF1_+,0.0274329799936193,0.031796383157843125,0.0019660403572262066,0.112117584,0.129384459,13,166,Myeloid
SATB1_+,0.027432902228679765,0.03150468990572675,0.0019461182406760751,0.09713565823076922,0.111100348,13,167,Myeloid
THRA_+,0.027432767290061902,0.03208084908037491,0.0019134687614591145,0.053463817692307694,0.0622313,13,168,Myeloid
BHLHE40_+,0.02743273894565,0.031923649963583045,0.001905898279013865,0.06273134084615384,0.072672597,13,169,Myeloid
ATF4_+,0.027432696690327493,0.029851519156727298,0.0018940369740929218,0.09150781184615386,0.099340868,13,170,Myeloid
ZEB1_+,0.027432583047556226,0.03215172857891686,0.0018670211113133402,0.11917111330769228,0.139010172,13,171,Myeloid
MYBL1_+,0.027432350245327138,0.031934380603633135,0.0018060616562994827,0.026827246846153854,0.031088757,13,172,Myeloid
MAX_+,0.027432241051739744,0.030557593031464297,0.0017764697909267778,0.051413736999999994,0.057093253,13,173,Myeloid
EOMES_+,0.027432096048719583,0.031188147724208564,0.0017372836956702042,0.029755107230769236,0.03370192,13,174,Myeloid
BCL11B_+,0.027432034557273978,0.03150042555511182,0.001720422595768654,0.047584436461538454,0.054418277,13,175,Myeloid
ETS1_+,0.027431994979079263,0.030331987356242172,0.0017088159727620279,0.044151100307692315,0.048677707,13,176,Myeloid
STAT5B_+,0.027431717679575855,0.030487649848191002,0.001629485773066902,0.05851249661538461,0.064832152,13,177,Myeloid
PRDM1_+,0.027431639583628396,0.030067799174197208,0.001605391952601281,0.04886356007692308,0.053418664,13,178,Myeloid
