regulon,tf_name,mean_RI,is_ad_regulon,stability_class
EGR1_+,EGR1,0.005736713895293,False,stabilizer
IRF8_+,IRF8,0.0008798657454362,False,destabilizer
KLF2_+,KLF2,0.0031043459493656,False,stabilizer
IKZF2_+,IKZF2,0.000545236981938,False,destabilizer
ZNF33A_+,ZNF33A,0.0020999867145988,False,intermediate
POU2AF1_+,POU2AF1,0.0006059501741553,False,destabilizer
ZNF367_+,ZNF367,0.0003505200674057,False,destabilizer
BACH2_+,BACH2,0.0007588188754103,False,destabilizer
REL_+,REL,0.0018740092262723,False,intermediate
ZBTB7A_+,ZBTB7A,0.0020381406530685,False,intermediate
JDP2_+,JDP2,0.0011959486098259,False,intermediate
STAT1_+,STAT1,0.0020999195803288,False,intermediate
MEF2C_+,MEF2C,0.0008179704953067,False,destabilizer
ZBTB18_+,ZBTB18,0.0012764215547092,False,intermediate
MAX_+,MAX,0.0022609309577108,False,stabilizer
ZBED5_+,ZBED5,0.001493429050689,False,intermediate
FOSB_+,FOSB,0.0041162728801097,False,stabilizer
PATZ1_+,PATZ1,0.0055266573595747,False,stabilizer
TFEB_+,TFEB,0.0018763918691358,False,intermediate
HOXA6_+,HOXA6,7.117623755450489e-05,False,destabilizer
BNC2_+,BNC2,0.0011043034894926,False,intermediate
HOXA9_+,HOXA9,1.762831773089649e-05,False,destabilizer
TFDP2_+,TFDP2,0.0011738243395673,False,intermediate
PLAGL2_+,PLAGL2,0.0011742672712849,False,intermediate
KLF3_+,KLF3,0.0027340698249628,False,stabilizer
MAFG_+,MAFG,0.0012090246771734,False,intermediate
ZEB2_+,ZEB2,0.0026623396444033,False,stabilizer
JUND_+,JUND,0.0031952113085924,False,stabilizer
RUNX3_+,RUNX3,0.0018742714079534,False,intermediate
IKZF3_+,IKZF3,0.0015181749410729,False,intermediate
NFATC1_+,NFATC1,0.0015371569789524,False,intermediate
GATA2_+,GATA2,3.639277341027384e-05,False,destabilizer
ZBTB1_+,ZBTB1,0.00134202268517,False,intermediate
RELB_+,RELB,0.0027839420417892,False,stabilizer
TAL1_+,TAL1,5.461986453682796e-05,False,destabilizer
FOXO1_+,FOXO1,0.0013492313885424,False,intermediate
XBP1_+,XBP1,0.0022619814471939,False,stabilizer
STAT2_+,STAT2,0.0015612762199084,False,intermediate
ZNF467_+,ZNF467,0.001130314924768,False,intermediate
KLF6_+,KLF6,0.0029310896948666,False,stabilizer
KLF4_+,KLF4,0.0014236118655351,False,intermediate
FOSL2_+,FOSL2,0.0021135209095868,False,intermediate
SPIB_+,SPIB,0.0007779591750372,False,destabilizer
LYL1_+,LYL1,0.0013394547347842,False,intermediate
POU2F2_+,POU2F2,0.0013524758062761,False,intermediate
PLAGL1_+,PLAGL1,0.0007699458240835,False,destabilizer
HSF1_+,HSF1,0.0063219758744454,False,stabilizer
