eRegulon,stability_class,mean_RI,rank,mean_abs_age_rho,median_abs_age_rho,mean_age_rho,n_tests,n_significant
IRF5_+_(663g),intermediate,0.0018048420093825,80,0.11997720867545804,0.124969424061234,0.11406011085540547,61,39
FOXJ3_+_(266g),intermediate,0.001799048596669,81,0.10098608994569372,0.105566598732553,0.08584049167851121,61,34
EOMES_+_(345g),intermediate,0.0017985444049329,82,0.12697814024783938,0.115202117063286,0.11625643880278362,61,38
KLF10_+_(913g),intermediate,0.0017544698876382,83,0.05844547289541439,0.044763600209736,0.03123982692906118,61,14
NR4A1_+_(165g),intermediate,0.0017336055686029,84,0.08150483739166131,0.0704995325531966,-0.056296881990387626,61,26
MYBL1_+_(375g),intermediate,0.0017034093365237,85,0.1429296837865322,0.150262842309518,0.13456518743963292,61,42
SP4_+_(230g),intermediate,0.0016944377057161,86,0.1630948767469225,0.158639538977521,0.1630948767469225,61,46
BATF3_+_(450g),intermediate,0.0016761394120503,87,0.1254915854163608,0.119833538108128,0.1199608201085096,61,42
CEBPB_+_(1444g),intermediate,0.0016697131663978,88,0.06681243532078233,0.0513848078773626,0.014425255694815793,61,19
ESRRA_+_(216g),intermediate,0.0016625186347943,89,0.09207310364666821,0.0803457589886547,0.07391059850123914,61,29
SOX13_extended_+_(44g),intermediate,0.0016424245208228,90,0.1311682270743468,0.115209354782086,0.12162603163206545,61,35
ZBTB40_+_(299g),intermediate,0.0016413758574088,91,0.08754655371586416,0.0897266765301279,0.056056170834723716,61,29
MITF_+_(67g),intermediate,0.0016026815705934,92,0.05141420637566343,0.0407981641973099,-0.030287668556821586,61,15
VENTX_+_(43g),intermediate,0.0015958271661109,93,0.0602127410686716,0.052789063425999,-0.008594930396227845,61,18
RUNX1_+_(356g),intermediate,0.0015898310590087,94,0.1216596223488041,0.110430358023202,0.11309828941605095,61,36
ATF5_+_(486g),intermediate,0.0015849899434009,95,0.052761577368556634,0.0453676777743314,0.021589024877148175,61,10
ZNF274_+_(43g),intermediate,0.0015786215044772,96,0.053964413770219946,0.0391605547976107,-0.013932243219823066,61,10
STAT2_+_(662g),intermediate,0.0015612762199084,97,0.07199881981302052,0.0713466347485282,0.0564620092534075,61,17
SMAD4_+_(493g),intermediate,0.001556661520768,98,0.07119590891470556,0.0664804844772098,0.02469464274511996,61,21
