regulon,mean_RI,std_RI,max_RI,min_RI,rank,stability_class
SOX4_+,0.0006275988431841096,0.0006880618453179695,0.0027841127467106313,7.557968921942707e-05,172,destabilizer
KLF8_+,0.0006189283141346765,0.0009441010517629543,0.003217471833371335,5.782906195863419e-05,173,destabilizer
BCL6_+,0.000618418727184101,0.0009423953383780028,0.003089405550814873,5.219472722089029e-06,174,destabilizer
POU2AF1_+,0.0006059501741553633,0.0008682356980469848,0.002762876554577342,0.00010149444334675423,175,destabilizer
HES1_+,0.0005946583288402578,0.0006925869805775264,0.0023219296700470638,5.9709196814425895e-06,176,destabilizer
E2F5_+,0.0005881471754936513,0.000633646183749183,0.0025587274333318524,0.00018599041613795808,177,destabilizer
IKZF2_+,0.0005452369819380087,0.00043496237132344595,0.0017815348741524967,0.00012674341741905778,178,destabilizer
EBF4_+,0.0005180710696070542,0.0006245796821968564,0.0027391329207465775,0.0,179,destabilizer
E2F8_+,0.0004892388730705903,0.000548710632887091,0.0033758899655428193,0.00012511564939219697,180,destabilizer
LEF1_+,0.0004612808418765974,0.00039637175614400447,0.0016476886021685982,7.823502742416587e-05,181,destabilizer
EHF_+,0.000446863746741521,0.00039779872042189243,0.0026678063648386745,7.190430667344218e-05,182,destabilizer
EGR3_+,0.0003945763738337883,0.000901655742696083,0.005945131725809481,7.434142251300668e-07,183,destabilizer
ZNF697_+,0.0003878633758932206,0.0006761768074104893,0.0028520489054147747,4.253271529800016e-05,184,destabilizer
ZNF367_+,0.0003505200674057759,0.0005307123406297013,0.0030933356212198867,5.794469528876307e-05,185,destabilizer
FOXM1_+,0.0003330184327605143,0.0008500180467153372,0.004944643977265295,2.0599857240472662e-05,186,destabilizer
E2F7_+,0.00031811177128519635,0.0005877865083041676,0.003322679500407557,2.8320878718926246e-05,187,destabilizer
ETV7_+,0.00029148499629999455,0.0004908934928753828,0.002305109001667399,1.4560748578223996e-05,188,destabilizer
SCX_+,0.00028154352234906514,0.0006360483509231208,0.0038610186808479907,2.7498943937860724e-07,189,destabilizer
RORC_+,0.00026262383982610435,0.0002818158596214129,0.0016282087849669921,3.975577173165184e-06,190,destabilizer
PLAG1_+,0.00017824040293187268,0.0002888149279191099,0.0014831830498977785,2.1421408694112037e-06,191,destabilizer
FOXP3_+,0.00015036255340340402,0.0004781492490534347,0.00291562535969762,0.0,192,destabilizer
FOSL1_+,0.0001459026131159575,0.0005111659336957466,0.003710867411295761,0.0,193,destabilizer
HOXA6_+,7.117623755450489e-05,0.0005204241364873998,0.003999909277208255,0.0,194,destabilizer
TCF7L1_+,6.325746504151327e-05,0.00018129200689780494,0.0010119239677956078,0.0,195,destabilizer
TAL1_+,5.461986453682796e-05,0.00020304532035445095,0.0016070484252187654,7.026541480222505e-06,196,destabilizer
MYCN_+,5.421002510095299e-05,0.00025529909140774054,0.002020963801842483,1.5319673703895334e-06,197,destabilizer
PBX1_+,5.141489936096463e-05,0.0003014972952690564,0.002349903949903468,0.0,198,destabilizer
ERG_+,5.116451034945802e-05,0.0002882699476348685,0.002256930938547506,0.0,199,destabilizer
GATA2_+,3.639277341027384e-05,0.00024030803764184044,0.0018900025300911906,0.0,200,destabilizer
GATA1_+,3.554658570050101e-05,0.000241855310555814,0.0019067716209662407,0.0,201,destabilizer
ZBTB8A_+,3.380620205862784e-05,0.00024891113263729296,0.0019452661849656949,0.0,202,destabilizer
HOXA9_+,1.762831773089649e-05,0.00012024380554962968,0.0009226985075712758,0.0,203,destabilizer
