cell_type_1,cell_type_2,ad_coupling_r,global_rb,ad_minus_global,n_shared_locus_genes,disruption_score
CD4_Tr1_IL10,Transitional_NK_GZMK,-0.0413571532920126,0.871382924703617,-0.9127400779956296,5,1.0474615144726176
Switched_Bm_IGHDneg,gdT1_TRDV1,-0.0374794489106327,0.861276661718077,-0.8987561106287097,7,1.0435161552338694
cMono_CD14,gdT1_TRDV1,-0.0199307621403413,0.720709856216161,-0.7406406183565024,7,1.0276543493452148
CD4_Tem_CCR7neg,ncMono_IFIT1,-0.0031820100472897,0.73803378021382,-0.7412157902611097,5,1.0043114693833768
Proliferative_T_MKI67,ncMono_FCGR3A,0.0081479732838855,0.830289075666241,-0.8221411023823555,11,0.9901865825738495
CD4_Tr1_IL10,CD4_Treg_FOXP3,0.0120773276153637,0.896255317348883,-0.8841779897335192,5,0.9865246795398789
DC2_CD1C,gdT2_GZMH,0.0170704785905475,0.830113619697815,-0.8130431411072675,8,0.9794359733589704
CD8_CTL_GZMK,gdT1_TRDV1,0.0190500098448351,0.906769146243345,-0.8877191363985099,7,0.9789913343172765
CD4_Th1-like_GZMK,gdT1_TRDV1,0.0519809545407239,0.894394308585944,-0.8424133540452201,7,0.941881389403174
CD4_Tem_CCR7neg,CD4_Th_CCR4,0.0572035831764155,0.94546954589769,-0.8882659627212743,12,0.9394971700308943
Transitional_B_MME,ncMono_C1QA,0.0505348664040768,0.792489031073661,-0.7419541646695841,5,0.9362327244635646
CD8_Tn_CCR7,gdT1_TRDV1,0.0699327856864131,0.915782743626676,-0.8458499579402629,7,0.9236360521388884
CD4_Th22-like_CCR10,cMono_IL1B,0.0637110438469124,0.818088527225995,-0.7543774833790825,6,0.9221220665898516
CD4_Th17-like_RORC,gdT1_TRDV1,0.0738436711032825,0.896934231316526,-0.8230905602132436,7,0.9176710303553759
gdT1_TRDV1,gdT2_IL12RB2,0.0769447878563318,0.908279903134624,-0.8313351152782922,7,0.9152851586930607
Proliferative_T_MKI67,Transitional_B_MME,0.0715025641807788,0.828870895323799,-0.7573683311430202,6,0.9137349802192701
CD8_Tem_CCR7neg,gdT1_TRDV1,0.0820144851986495,0.898744991599527,-0.8167305064008775,7,0.9087455441029101
CD4_Th_LMNA,gdT1_TRDV1,0.0859475420319522,0.91485610247625,-0.8289085604442978,7,0.9060534855707721
CD4_Th22-like_CCR10,gdT1_TRDV1,0.0889893660577491,0.910348944373065,-0.8213595783153159,6,0.902246971770771
Proliferative_NK_MKI67,Terminal_NK_dim_CD160neg,0.0838274652059291,0.835445759460565,-0.7516182942546358,6,0.8996613912313646
Proliferative_T_MKI67,Switched_activated_Bm_CD86,0.0857811203719442,0.851334017964276,-0.7655528975923317,8,0.899239172214608
CD4_Tr1_IL10,gdT2_IL12RB2,0.0901171177280189,0.889977888577666,-0.799860770849647,5,0.8987422958653039
Transitional_B_MME,cMono_IL1B,0.0769092729046139,0.756760170675954,-0.6798508977713401,5,0.8983703478528515
MAIT_SLC4A10,gdT1_TRDV1,0.0909099801490121,0.87485365894892,-0.7839436787999079,7,0.896085500450173
CD4_Tn_CCR7,gdT1_TRDV1,0.0951912046722488,0.899734584210209,-0.8045433795379602,7,0.8942007939421289
CD4_Tr1_IL10,CD8_CTL_GZMB,0.0940918821404978,0.878451632784623,-0.7843597506441252,5,0.8928889438770421
Proliferative_T_MKI67,Switched_Bm_IGHDneg,0.0903586005732143,0.843236958751797,-0.7528783581785827,6,0.8928431686545526
CD4_Treg_FCRL3,gdT1_TRDV1,0.1003161593869796,0.925071624490207,-0.8247554651032274,7,0.891558494789782
DC2_CD1C,Terminal_NK_dim_CD160neg,0.0856069680972042,0.789309853991089,-0.7037028858938847,5,0.8915420000594967
CD4_Th_TNFRSF11A,DC2_CD1C,0.1027059309099553,0.839313805799308,-0.7366078748893526,7,0.8776310717156084
Transitional_NK_GZMK,gdT1_TRDV1,0.1155536306019716,0.895615616314373,-0.7800619857124014,5,0.870978544258198
Terminal_NK_dim_CD160neg,Unswitched_Bm_CD1C,0.1087620042149479,0.823613174408834,-0.714851170193886,5,0.8679452835452588
Proliferative_T_MKI67,cMono_IL1B,0.1083338562076408,0.810987059085213,-0.7026532028775722,7,0.8664172812697646
CD4_Th_CCR4,pre-Switched_Bm_JAM3,0.1142274709963827,0.847287048136695,-0.7330595771403122,10,0.8651844481187513
CD8_CTL_GZMB,gdT1_TRDV1,0.119125306761219,0.850656859647719,-0.7315315528865,8,0.8599607992222008
CD4_Tn_LIMS1,NK_bright_XCL1,0.1261449209370317,0.892534045618413,-0.7663891246813813,5,0.8586665443673589
CD4_Th_CCR4,gdT1_TRDV1,0.1391517292170302,0.905863086663716,-0.7667113574466857,6,0.8463876812449389
CD4_Tn_CXCR5,gdT1_TRDV1,0.1491638960635348,0.921426010369352,-0.7722621143058173,6,0.8381162519997208
CD4_Tfh-like_CXCR5,gdT1_TRDV1,0.1474655958284342,0.902953515947861,-0.7554879201194268,7,0.8366852853176672
NKT_NCR1,gdT1_TRDV1,0.1419976282649092,0.841241925573251,-0.6992442973083417,7,0.8312047653020298
CD4_Th22-like_CCR10,cMono_IFI44L,0.1431609697298295,0.838487856494576,-0.6953268867647464,5,0.8292629182152556
Mature_NK_dim_FCGR3A,gdT1_TRDV1,0.1580554381344555,0.883474519377711,-0.7254190812432555,8,0.8210979098233819
CD8_CTL_GZMK,Proliferative_T_MKI67,0.1610242092226435,0.897359177111734,-0.7363349678890905,9,0.8205576837795089
CD4_CTL_GZMH,cMono_IFI44L,0.1487126979059495,0.799669189193105,-0.6509564912871555,6,0.8140322274314382
CD4_Treg_FOXP3,gdT1_TRDV1,0.1713807076930289,0.89294570175195,-0.721564994058921,7,0.8080726438832935
CD4_Th_CCR4,CD4_Tn_LIMS1,0.1784747941175968,0.922779975330091,-0.7443051812124941,7,0.8065900876817858
DC2_CD1C,ncMono_C1QA,0.1842741866332725,0.913327413936056,-0.7290532273027834,11,0.7982386340084455
CD4_CTL_GZMH,cMono_IL1B,0.1628022348931101,0.791770412800945,-0.6289681779078348,7,0.7943820174876384
Proliferative_T_MKI67,gdT2_IL12RB2,0.1994527644868249,0.901901311425362,-0.7024485469385371,8,0.7788530053564171
CD4_Th_LMNA,Terminal_NK_dim_CD160neg,0.1961811597229675,0.883823518708955,-0.6876423589859875,7,0.7780312974590909
DC2_CD1C,cMono_IL1B,0.2087936181408922,0.912043403756028,-0.7032497856151357,10,0.7710705244059366
CD4_Tem_CCR7neg,Proliferative_NK_MKI67,0.195119524912345,0.833953398260775,-0.63883387334843,6,0.7660306615222502
CD4_Th_LMNA,cMono_IL1B,0.2012024858925749,0.80881878636684,-0.6076163004742651,6,0.7512391041306509
Switched_activated_Bm_CD86,cMono_IL1B,0.2046360798351741,0.79933281290915,-0.5946967330739759,9,0.7439913931589939
CD8_Tcm_IFI44L,cMono_IL1B,0.2135731587260939,0.822483978837416,-0.608910820111322,7,0.7403315271526865
Proliferative_T_MKI67,cMono_CD14,0.2187687334326284,0.838536644115065,-0.6197679106824365,10,0.7391065316370257
CD4_Tem_CCR7neg,Unswitched_Bm_CD1C,0.2332359370834869,0.87092047288265,-0.6376845357991631,11,0.7321960565337248
CD4_Th_TNFRSF11A,Proliferative_NK_MKI67,0.231372629344054,0.857318881515656,-0.625946252171602,6,0.7301206886578658
Bn_TCL1A,gdT1_TRDV1,0.2215770189568928,0.814831237639457,-0.5932542186825641,7,0.7280700484694289
Switched_activated_Bm_CD86,gdT1_TRDV1,0.2319624398865767,0.848319169000501,-0.6163567291139243,6,0.7265623030069244
CD4_Th_CCR4,CD4_Th_TNFRSF11A,0.2635275990299677,0.937833750435277,-0.6743061514053093,11,0.7190039290997401
CD8_Tcm_IFI44L,gdT2_GZMH,0.2618132579366767,0.914375344952748,-0.6525620870160712,13,0.7136698190935952
CD4_Tn_SOX4,gdT1_TRDV1,0.2681936811568158,0.924428457602016,-0.6562347764452001,7,0.7098816258290933
Atypical_Bm_ITGAX,CD4_Tem_CCR7neg,0.2504728632378917,0.843871196720404,-0.5933983334825124,10,0.7031859077412265
CD4_Tcm_CXCR5,CD4_Th_CCR4,0.2848379434693481,0.944108796200079,-0.6592708527307309,12,0.6982996614206058
CD4_Th_LMNA,gdT2_GZMH,0.2880312158958589,0.926931331332261,-0.638900115436402,13,0.6892636960691824
CD4_Tem_CCR7neg,pDC_IRF4,0.2588075246477159,0.823476731909764,-0.5646692072620481,13,0.6857136156749649
Transitional_NK_GZMK,cMono_IFI44L,0.2363524099350759,0.739624697452462,-0.5032722875173861,6,0.6804427830098696
Proliferative_NK_MKI67,gdT2_GZMH,0.2642271674544005,0.808402109280345,-0.5441749418259444,6,0.6731488396416723
gdT2_GZMH,gdT2_GZMK,0.311600790721371,0.950007523968016,-0.638406733246645,9,0.6720017653966899
Terminal_NK_dim_CD160neg,Transitional_B_MME,0.2777614934362784,0.812199668613846,-0.5344381751775675,5,0.6580132888870484
CD8_Tem_CCR7neg,Proliferative_T_MKI67,0.3090668093264428,0.90003194159611,-0.5909651322696672,9,0.6566046214111624
CD4_Tcm_CXCR5,DC2_CD1C,0.2846342254219305,0.827015968650141,-0.5423817432282105,10,0.6558298313314171
CD4_Tcm_CXCR5,Proliferative_NK_MKI67,0.2857201371431206,0.827522309530068,-0.5418021723869473,6,0.6547281760834038
CD8_Tcm_IFI44L,Proliferative_T_MKI67,0.3069275814350559,0.878500388441299,-0.5715728070062431,7,0.6506232831841661
intMono_GFRA2,ncMono_C1QA,0.3286876647946992,0.933547980906244,-0.6048603161115449,5,0.6479156170680967
Terminal_NK_dim_CD160neg,gdT2_GZMK,0.321168787794063,0.898002958524087,-0.576834170730024,7,0.6423521941153512
ncMono_C1QA,pDC_IRF4,0.2802735547575422,0.768738861053524,-0.4884653062959817,8,0.6354112313595813
CD4_Tcm_IFI44L,CD4_Th_TNFRSF11A,0.3456810809839992,0.946774527424302,-0.6010934464403028,8,0.6348855287389028
CD4_Th22-like_CCR10,gdT2_GZMH,0.3461005095261059,0.926491975803675,-0.5803914662775691,10,0.6264398197017466
CD4_Th17-like_RORC,Proliferative_T_MKI67,0.3299535055142449,0.880966777795747,-0.551013272281502,8,0.6254643037279835
NK_bright_XCL1,gdT1_TRDV1,0.3260016097400465,0.867864598116397,-0.5418629883763505,5,0.6243635119492184
CD4_Th_CCR4,Terminal_NK_dim_CD160neg,0.3273365449964082,0.860003110711869,-0.5326665657154608,6,0.6193774872215813
CD8_Tcm_IFI44L,ncMono_C1QA,0.3180438481235453,0.829820719308271,-0.5117768711847256,9,0.6167318545761753
cMono_IFI44L,gdT2_IL12RB2,0.2897317226563671,0.746459404345397,-0.4567276816890299,8,0.6118587012639414
CD4_Th_TNFRSF11A,CD8_Tcm_IFI44L,0.3685748736042746,0.941638283237504,-0.5730634096332294,14,0.6085812565552722
CD8_CTL_GZMK,Terminal_NK_dim_CD160neg,0.3563677451383721,0.908250193922112,-0.5518824487837399,10,0.607632624222778
CD8_CTL_GZMB,Proliferative_T_MKI67,0.3539497624516214,0.893797679629991,-0.5398479171783696,9,0.60399341985521
CD4_Tem_CCR7neg,cMono_IL1B,0.3104580845581887,0.781121587788895,-0.4706635032307062,10,0.6025483235753398
