cell_type_1,cell_type_2,ad_coupling_r,global_rb,ad_minus_global,n_shared_locus_genes
CD4_Tcm_IFI44L,CD4_Th22-like_CCR10,0.9935945242597952,0.93998830683175,0.053606217428045166,6
CD4_Th22-like_CCR10,CD4_Tn_SOX4,0.9742018393393412,0.921431394215297,0.052770445124044274,8
cMono_CD14,intMono_GFRA2,0.9847997669865545,0.93328697548616,0.05151279150039445,5
CD8_Tcm_IFI44L,Transitional_B_MME,0.9348070541600937,0.883378287726653,0.05142876643344063,9
CD4_Th22-like_CCR10,gdT2_GZMK,0.9811422133655145,0.929925846835432,0.05121636653008255,7
Switched_activated_Bm_CD86,Transitional_B_MME,0.9714593155325028,0.920462024745888,0.050997290786614746,10
NKT_NCR1,Switched_Bm_IGHE,0.8738122054789407,0.823217892965551,0.05059431251338964,11
Switched_Bm_IGHE,Unswitched_Bm_CD1C,0.9972539599128329,0.94721016846442,0.05004379144841298,9
CD4_Tn_CXCR5,NK_bright_XCL1,0.9386039003679736,0.889758477630327,0.04884542273764658,5
CD4_Tcm_IFI44L,CD4_Th17-like_RORC,0.9867002014871299,0.938658752807632,0.04804144867949789,8
CD4_Tn_CCR7,gdT2_GZMK,0.9246827228764216,0.876739066435936,0.047943656440485594,10
CD4_Tcm_IFI44L,gdT2_GZMK,0.9696487046573707,0.921756465641323,0.04789223901604778,6
CD8_Tn_CCR7,Switched_Bm_IGHDneg,0.9104491002255224,0.863266106133577,0.047182994091945374,16
Atypical_Bm_ITGAX,cMono_CD14,0.8688945480444954,0.821935760867591,0.04695878717690438,10
CD4_Th_LMNA,Transitional_B_MME,0.9260039532621853,0.879102012935763,0.046901940326422364,9
Atypical_Bm_ITGAX,Switched_Bm_IGHE,0.9756627156161514,0.929357544041426,0.04630517157472536,11
Bn_TCL1A,CD4_Tn_LIMS1,0.8656091886705594,0.820024277490293,0.04558491118026631,8
Atypical_Bm_ITGAX,Unswitched_Bm_CD1C,0.9868409803295963,0.941281225602403,0.04555975472719331,10
CD8_Tn_CCR7,gdT2_GZMK,0.9288417171481202,0.884026791594468,0.044814925553652296,11
DC2_CD1C,intMono_GFRA2,0.9518228058481503,0.907287106737973,0.044535699110177296,5
CD4_Tn_LIMS1,gdT2_GZMH,0.934458133730838,0.890666487422718,0.043791646308119936,9
CD4_CTL_GZMH,DC2_CD1C,0.8677142867440603,0.824526340300496,0.043187946443564273,9
Unswitched_Bm_CD1C,ncMono_FCGR3A,0.8743861343937158,0.83133603583602,0.043050098557695815,9
CD4_Tn_CXCR5,Mature_NK_dim_FCGR3A,0.9182864778880061,0.875697311654638,0.04258916623336806,11
NKT_NCR1,Switched_Bm_IGHDneg,0.8748947688056805,0.832531348698438,0.04236342010724248,13
CD4_Tcm_IFI44L,CD8_CTL_GZMK,0.9747410971709878,0.932400189560726,0.04234090761026177,8
CD4_Th22-like_CCR10,Switched_activated_Bm_CD86,0.9240229969681957,0.882077960724169,0.04194503624402668,11
CD4_CTL_GZMH,CD4_Th22-like_CCR10,0.9757985265083592,0.93446920422411,0.04132932228424924,9
CD4_CTL_GZMH,gdT2_GZMK,0.9896418827114777,0.94852755359178,0.0411143291196977,9
Proliferative_T_MKI67,Terminal_NK_dim_CD160neg,0.9271757722279634,0.88659992886262,0.04057584336534348,5
NKT_NCR1,Unswitched_Bm_CD1C,0.8579503746031174,0.817730000160182,0.04022037444293536,12
CD4_Tn_CCR7,CD4_Treg_FOXP3,0.9362304416300461,0.896124240978815,0.04010620065123105,23
CD4_Tn_CXCR5,CD8_Tem_CCR7neg,0.9653452004671574,0.925290969745851,0.04005423072130643,14
CD8_Tn_CCR7,intMono_GFRA2,0.7480964923159397,0.708270650678324,0.03982584163761571,5
CD4_Th1-like_GZMK,Unswitched_Bm_CD1C,0.9105561912658178,0.870866099023292,0.03969009224252573,13
CD4_Treg_FOXP3,CD8_Tn_CCR7,0.9639192302795092,0.924807875696259,0.03911135458325021,23
CD4_Treg_FOXP3,ncMono_FCGR3A,0.86164876512266,0.822739532558963,0.03890923256369694,12
CD4_Tn_CCR7,ncMono_C1QA,0.7846743711999266,0.745909975023388,0.038764396176538596,17
CD4_Treg_FCRL3,Switched_Bm_IGHDneg,0.9253743204561219,0.886610748672025,0.03876357178409684,14
Switched_Bm_IGHDneg,gdT2_IL12RB2,0.8974856205911609,0.859012087771478,0.03847353281968291,15
Atypical_Bm_ITGAX,Transitional_NK_GZMK,0.8892137131373014,0.851775410947466,0.03743830218983535,6
CD4_Tem_CCR7neg,intMono_GFRA2,0.8063112948034823,0.769061443914061,0.03724985088942134,5
Atypical_Bm_ITGAX,CD8_Tem_CCR7neg,0.881937837674498,0.844942510170666,0.03699532750383194,12
CD8_CTL_GZMK,Switched_Bm_IGHE,0.9100541222412666,0.873504374407267,0.03654974783399956,11
ncMono_FCGR3A,ncMono_IFIT1,0.9876677596201746,0.952150496325894,0.03551726329428062,5
CD4_Tn_SOX4,MK_GP9,0.6854717883987855,0.65029484284395,0.035176945554835526,5
CD4_Tn_SOX4,CD8_Tcm_IFI44L,0.9780532042578742,0.944238651542251,0.03381455271562328,9
CD4_Th22-like_CCR10,CD4_Th_LMNA,0.998800867646548,0.965200483658291,0.03360038398825693,10
NKT_NCR1,ncMono_C1QA,0.8338590218446489,0.800701323918595,0.03315769792605383,16
