,AT2,AT1,Transitional AT2,Ciliated,Basal,KRT5-/KRT17+,Differentiating ciliated,Proliferating - Epi,Secretory - SCGB1A1+/SCGB3A2+,Secretory - SCGB3A2+,Secretory - SCGB1A1+/MUC5B+,Alveolar macrophage,Monocyte-derived macrophage,Monocyte,Interstitial macrophage,cDC1,Mast,Plasma,Proliferating - Imm,Inflammatory monocyte,CD4,CD8/NKT,pDC,moDC,NK,B cells,cDC2,Venule,Systemic venous,Lymphatic,aCap,gCap,Arteriole,Alveolar FB,Pericyte,SMC,Adventitial FB,Mesothelial
CD4,0.7958516677138672,0.7782274369185455,0.8086198702711498,0.766810205285175,0.8319115973813062,0.8353298124575579,0.7743684069513812,0.8073134501921317,0.8193823547473897,0.8116222562928618,0.8206489668485667,0.8283731090831908,0.8307338222465461,0.877004366931521,0.8775907088550037,0.8653414480726905,0.904456579228104,0.9275743906191911,0.8703162713711174,0.8570400241077477,1.0,0.9477409773376068,0.9335332002539891,0.8528895423674826,0.9461907206643657,0.907428131664021,0.8684274701390922,0.9026445797377565,0.8961992102454822,0.8752348904496268,0.8822587680085369,0.8788447306912472,0.8883266179788679,0.8710811854073139,0.8419849053146875,0.8694305784868733,0.8416380140374164,0.8463193941463014
CD8/NKT,0.778388727048793,0.7610540108110272,0.7875282435468035,0.7684349633692655,0.8211398056711122,0.8224922973867401,0.7659129305739538,0.7923510087109205,0.8014391765777817,0.7937282250754535,0.808140253842348,0.8413431053850745,0.8437870360185495,0.8908487505734075,0.8832135246590868,0.8762731769059317,0.9021881652976165,0.9220779004869007,0.8819790194319784,0.8716159679901094,0.9477409773376068,1.0,0.9329315730942782,0.863820358613401,0.9452308296536632,0.9152153894068441,0.8831042977795115,0.892419026493583,0.8811786352604859,0.867720168698848,0.8747231476396963,0.8724126322231653,0.8782303042281839,0.8577904897206508,0.8288516597373994,0.8571961526335015,0.8255920050061687,0.8401821542713713
pDC,0.7817142550357654,0.7621750940533606,0.7926926780330781,0.7556407971503964,0.82013528667785,0.8210963758346109,0.7602823363061629,0.7878467410798353,0.8014904812487317,0.7966572248031923,0.8034087195892972,0.839565919146385,0.8377721112269961,0.88480961604069,0.8829606182120728,0.8622229606318225,0.9022650790605019,0.9146921105904902,0.8714142887139448,0.8613639909653874,0.9335332002539891,0.9329315730942782,1.0,0.8604515708572986,0.9332368846418285,0.9067948742845495,0.8715596897642306,0.8868914333308523,0.8830095407114721,0.8572607170093642,0.8742037149156032,0.86617750426235,0.8761447713892303,0.8576769437508619,0.8288346529128495,0.855996760908641,0.822888509547189,0.8292804173202456
moDC,0.6849024849565698,0.6532010039750255,0.6710063711362172,0.6343189468901455,0.6853934785929614,0.7017242694138348,0.6065734942786015,0.632425537708702,0.6718489853464531,0.6817063850164294,0.6783790620260327,0.9649444940691524,0.9693008098281521,0.960239110942223,0.9510893775105607,0.9079526879735174,0.9327953477407794,0.8114223857880692,0.9572195492840588,0.9701636432493757,0.8528895423674826,0.863820358613401,0.8604515708572986,1.0,0.8686750309039936,0.8405727503549926,0.9596380603533543,0.7826098811580885,0.7870610394564952,0.7991946781073113,0.7948949986200244,0.7429028437623776,0.7875246562063204,0.7781649745130226,0.7767009561747971,0.7869083231368261,0.7314291179298719,0.7152636523992446
NK,0.7805508270573418,0.764524067936701,0.7874125440250942,0.7348962236424957,0.8119066948019609,0.8309502839323206,0.7440582659498417,0.7841457616766442,0.7939974925042136,0.7916159828005268,0.7949779421096785,0.8451793243759008,0.84764969276428,0.8908240134061951,0.8896713389846346,0.8693500642967065,0.9090958346981429,0.9249253348480265,0.8840016949258411,0.8724698065079864,0.9461907206643657,0.9452308296536632,0.9332368846418285,0.8686750309039936,1.0,0.9147354818879765,0.8810614881399566,0.8992897273261976,0.889535642946269,0.8761571999803193,0.8785424069808911,0.8719147167038059,0.8906292692601534,0.8643976242271777,0.842771680434018,0.8661321315473465,0.8309255926355209,0.8305374885148135
B cells,0.7640716030134895,0.7564292799555673,0.7753210550486156,0.7154396861935932,0.7915127792515344,0.8208880684427189,0.7191599110777325,0.7596544604116603,0.7786842704505396,0.7736377172202455,0.7776879948748806,0.819605436062611,0.8178707586272473,0.8589755205249517,0.8613657316258921,0.8502357022510355,0.8771987203989489,0.9007090711234589,0.8536658320730592,0.839541024831564,0.907428131664021,0.9152153894068441,0.9067948742845495,0.8405727503549926,0.9147354818879765,1.0,0.8569563108414854,0.8813150613476888,0.8772544860330815,0.8674359885741507,0.8745820816181353,0.8691476162528351,0.8783401269164822,0.8642547052693909,0.8498416807989755,0.87824736121335,0.8333354701812345,0.8273884401829664
cDC2,0.7039288825802973,0.6855535407650283,0.6894477263838886,0.6747973554704546,0.7154636381389575,0.7238667981066682,0.6427808340125908,0.6601573027130826,0.6984436599167209,0.701303008182397,0.706976976688559,0.9483196788161632,0.9536484534500052,0.954037125041666,0.942482313350032,0.9225735846466451,0.9202057520951266,0.8324348650083733,0.9482706395151984,0.9567229576604391,0.8684274701390922,0.8831042977795115,0.8715596897642306,0.9596380603533543,0.8810614881399566,0.8569563108414854,1.0,0.8067455602062501,0.8099836549074623,0.8226094668173809,0.8110102317507691,0.7726104950838916,0.8088362536435522,0.7968524644505793,0.7882983812357011,0.8094114749180659,0.7547130032112213,0.7433921055739267
Venule,0.8660470666423354,0.8617319806533481,0.878468191005157,0.8154739283202356,0.8886626389245963,0.8971264086576786,0.8369243536069902,0.8719451180614535,0.8864687910148695,0.8777019892612135,0.8821975717138715,0.7653846802000313,0.7673519611341519,0.802562707110286,0.8248862782109088,0.8304018308297995,0.8381183062073908,0.9111060987188722,0.8017493765698811,0.7861143037402701,0.9026445797377565,0.892419026493583,0.8868914333308523,0.7826098811580885,0.8992897273261976,0.8813150613476888,0.8067455602062501,1.0,0.9474732871294577,0.9047002839327302,0.9212737645297043,0.9148166728617929,0.9336321663523517,0.9162503596440353,0.8826184564679987,0.9011241406876576,0.9032446822705363,0.8997080902498723
Systemic venous,0.8745544104906045,0.8761480993703575,0.884681186020817,0.8231933160182756,0.8900310467780751,0.8950349281548117,0.8349889141060982,0.8708651765363801,0.8884107405589426,0.8823554180141929,0.8861475551670327,0.7774796427924863,0.7778374421195067,0.8060334514380166,0.8324431647088253,0.8393571406530741,0.8382269482435339,0.9044890987942134,0.8061666977338485,0.7901040085711637,0.8961992102454822,0.8811786352604859,0.8830095407114721,0.7870610394564952,0.889535642946269,0.8772544860330815,0.8099836549074623,0.9474732871294577,1.0,0.9096617069156879,0.9235040894168001,0.9120687453589548,0.9313956878829703,0.9239556750788686,0.8886649884593925,0.9040191354188578,0.911442166087549,0.9001089017901313
Lymphatic,0.8075269209700575,0.8496404459041794,0.8134524754912819,0.767921359339281,0.8167962231608507,0.8422416530875964,0.768970411369898,0.8025122506902834,0.8165820608076493,0.8148917090031901,0.8179050939072212,0.7845587199026284,0.7775736802912961,0.7928592301794775,0.8148360018287825,0.838297321788116,0.8338815622030059,0.8682312215113842,0.8095641076853323,0.7934369102137911,0.8752348904496268,0.867720168698848,0.8572607170093642,0.7991946781073113,0.8761571999803193,0.8674359885741507,0.8226094668173809,0.9047002839327302,0.9096617069156879,1.0,0.92420665362431,0.9070841307720182,0.9224523898220053,0.9252189483554626,0.9105090456631364,0.921866490280138,0.9203546174952132,0.8893727389956677
aCap,0.8407925426504573,0.8600930731244688,0.8439900714576447,0.7981198805430685,0.8476790197510966,0.8652946306018529,0.8043275757445695,0.8350671560835279,0.8512145609379368,0.8485215068301745,0.8502258126650519,0.7811939208326115,0.7734925437884035,0.7974117854268331,0.817605097477832,0.8428689581408693,0.8329559628366648,0.8818918169899449,0.8091641041511345,0.7923231244417924,0.8822587680085369,0.8747231476396963,0.8742037149156032,0.7948949986200244,0.8785424069808911,0.8745820816181353,0.8110102317507691,0.9212737645297043,0.9235040894168001,0.92420665362431,1.0,0.920485379830446,0.9262947529767458,0.9243933683646464,0.9033573781888908,0.9202271421783124,0.9175409556984159,0.8944541845593806
gCap,0.8336651976624011,0.8542279991039005,0.8460172432739126,0.7937239694109298,0.8503362055654443,0.8690746490239086,0.8101817392507977,0.8467033258222277,0.8505867815220575,0.8431698419602104,0.8496106610462325,0.7260205871602867,0.7214844058112346,0.7568122037672423,0.77541484848781,0.8056031177837997,0.8045589805328495,0.8792248367851829,0.7679255847956067,0.7417703784550003,0.8788447306912472,0.8724126322231653,0.86617750426235,0.7429028437623776,0.8719147167038059,0.8691476162528351,0.7726104950838916,0.9148166728617929,0.9120687453589548,0.9070841307720182,0.920485379830446,1.0,0.9205314046595149,0.9082977926814133,0.8812684460309959,0.9102395227750905,0.9090329102870152,0.8911319391415273
Arteriole,0.844256399982646,0.8608979822757982,0.8495012789674865,0.7753192554480872,0.8519578290463209,0.8751732122791608,0.7903767819069187,0.8399399035536211,0.8506341536939054,0.8479948454296813,0.8475670376052273,0.7737213939194577,0.7683547286496862,0.7951276027894101,0.8168541197513219,0.8347212429345708,0.8390846242063298,0.8918719819648343,0.8067245635649191,0.7858241451029274,0.8883266179788679,0.8782303042281839,0.8761447713892303,0.7875246562063204,0.8906292692601534,0.8783401269164822,0.8088362536435522,0.9336321663523517,0.9313956878829703,0.9224523898220053,0.9262947529767458,0.9205314046595149,1.0,0.9230036087237063,0.9045638741836342,0.9189940554723603,0.9191078494870116,0.8909195367344147
Alveolar FB,0.8575018894662036,0.8793410874503178,0.8657474794080242,0.7949167753699837,0.8558227746134762,0.876404199336224,0.8121849890292588,0.8433187341250213,0.8674620177981714,0.8614829548950828,0.8597759071579733,0.7679714026066912,0.7596214454114428,0.7736840898225318,0.8057268752091494,0.8278633728113428,0.8159899676577795,0.8681169908717424,0.7841640734490163,0.7719239583061259,0.8710811854073139,0.8577904897206508,0.8576769437508619,0.7781649745130226,0.8643976242271777,0.8642547052693909,0.7968524644505793,0.9162503596440353,0.9239556750788686,0.9252189483554626,0.9243933683646464,0.9082977926814133,0.9230036087237063,1.0,0.912796293149164,0.9167406252871652,0.9302441698905278,0.9022681235390632
Pericyte,0.8145561331207479,0.8426859027221861,0.8128304641907893,0.7269324023888215,0.7968781243799818,0.8442475983609281,0.7389733867047759,0.7830764494242294,0.8118423047039446,0.8122165066683542,0.7997242977027018,0.7669252791732077,0.7604025952016897,0.7676794086926181,0.7937527455235655,0.8143617822445495,0.8144154917517635,0.8487447816068249,0.7839008813697589,0.7699813694164042,0.8419849053146875,0.8288516597373994,0.8288346529128495,0.7767009561747971,0.842771680434018,0.8498416807989755,0.7882983812357011,0.8826184564679987,0.8886649884593925,0.9105090456631364,0.9033573781888908,0.8812684460309959,0.9045638741836342,0.912796293149164,1.0,0.9077484529115122,0.9029895607962177,0.8689405674544809
SMC,0.8032881370917502,0.8340935868627403,0.8104330201049521,0.7304335468325736,0.8043574986107471,0.8459992139051753,0.7387775782174066,0.7839565382331356,0.8037409453440727,0.8003022724016987,0.8024842796644479,0.7719384835484433,0.7670924545583652,0.7820085821128039,0.8074238525162902,0.8287675631198689,0.8281728238806282,0.8645222030438151,0.8001791502863878,0.7797682777460465,0.8694305784868733,0.8571961526335015,0.855996760908641,0.7869083231368261,0.8661321315473465,0.87824736121335,0.8094114749180659,0.9011241406876576,0.9040191354188578,0.921866490280138,0.9202271421783124,0.9102395227750905,0.9189940554723603,0.9167406252871652,0.9077484529115122,1.0,0.9138698869219569,0.8687534404464246
Adventitial FB,0.8769005381853283,0.9037463279072986,0.8760074268955141,0.7957687922565172,0.8639280410389149,0.8837075959640602,0.8156843955261621,0.8594180476602518,0.874888902793026,0.8780197879841473,0.8756275700017399,0.7206471204821213,0.7178958449640146,0.7261229860709707,0.7689996582953706,0.7923125773477137,0.772375556091178,0.8457139024705674,0.7447120150958393,0.7247891073244764,0.8416380140374164,0.8255920050061687,0.822888509547189,0.7314291179298719,0.8309255926355209,0.8333354701812345,0.7547130032112213,0.9032446822705363,0.911442166087549,0.9203546174952132,0.9175409556984159,0.9090329102870152,0.9191078494870116,0.9302441698905278,0.9029895607962177,0.9138698869219569,1.0,0.9094672344793857
Mesothelial,0.8740720931752455,0.8950184480166674,0.8769140245998578,0.8472184885936288,0.8899344444476479,0.8867581657478423,0.8674401504288092,0.8822470429651179,0.8982827577659186,0.8857067919825595,0.8990732223284013,0.7028734443905181,0.700597778486326,0.7229424031590937,0.7591463842991898,0.7805192145047721,0.7585703779938844,0.8577284721055637,0.7338205565705443,0.7155610619399668,0.8463193941463014,0.8401821542713713,0.8292804173202456,0.7152636523992446,0.8305374885148135,0.8273884401829664,0.7433921055739267,0.8997080902498723,0.9001089017901313,0.8893727389956677,0.8944541845593806,0.8911319391415273,0.8909195367344147,0.9022681235390632,0.8689405674544809,0.8687534404464246,0.9094672344793857,1.0
