,mean_RI,median_RI,max_RI,std_RI,cv_RI,n_critical,stability_rank,role
PRDM4_+,0.0006569379286707323,0.00044547645603789206,0.002247780632348076,0.000536676967574348,0.8169371006532368,0,170,destabilizer
TCF4_+,0.000649645330328123,0.00028181454364551166,0.0031712458727932566,0.0006804144809709119,1.0473629966367728,0,171,destabilizer
SOX4_+,0.0006275988328908562,0.0003840017804781027,0.0027841127349350287,0.0006937719993819565,1.105438636781483,0,172,destabilizer
KLF8_+,0.0006189283039526244,0.00021521100577647612,0.003217471821435108,0.0009519360488808069,1.5380392870441955,0,173,destabilizer
BCL6_+,0.0006184187173297985,9.682711768610251e-05,0.0030894055389250495,0.000950216179686635,1.5365255797123063,0,174,destabilizer
POU2AF1_+,0.0006059501639499178,0.00019333471651719752,0.002762876542809885,0.0008754410964008106,1.4447410810972654,0,175,destabilizer
HES1_+,0.000594658318792544,0.00014485168579302614,0.002321929658456304,0.0006983346880597959,1.1743461157718622,0,176,destabilizer
E2F5_+,0.0005881471651242258,0.0002964220192701986,0.00255872742164433,0.0006389047479729107,1.0863008185233083,0,177,destabilizer
IKZF2_+,0.0005452369715740389,0.00034671300170887714,0.0017815348628040539,0.0004385720790097014,0.804369661395526,0,178,destabilizer
EBF4_+,0.000518071060042029,0.0004776788142544277,0.0027391329089882653,0.000629763003778902,1.2155919354233373,0,179,destabilizer
E2F8_+,0.000489238862746105,0.000388199692741134,0.003375889953550236,0.0005532643258147804,1.1308674899177713,0,180,destabilizer
LEF1_+,0.0004612808316355121,0.000255771331025069,0.0016476885908864147,0.0003996612042547203,0.8664162392598665,0,181,destabilizer
EHF_+,0.00044686373648819317,0.00037931403894822193,0.0026678063531080667,0.00040110001083383816,0.8975890795892469,0,182,destabilizer
EGR3_+,0.0003945763643685877,8.161297026573527e-05,0.0059451317130087885,0.0009091384904311687,2.30408754863437,1,183,destabilizer
ZNF697_+,0.00038786336608066796,8.084446646899145e-05,0.0028520488936132696,0.0006817883287145979,1.7578054195894177,0,184,destabilizer
ZNF367_+,0.0003505200573440164,0.00024039389184181604,0.003093335609328604,0.0005351166675327862,1.5266363644376615,0,185,destabilizer
FOXM1_+,0.00033301842306121863,9.264927598746156e-05,0.004944643964761506,0.0008570722587225403,2.5736481731863132,1,186,destabilizer
E2F7_+,0.0003181117613522177,0.00018494198428063426,0.0033226794884337594,0.0005926644878220818,1.8630700211766316,0,187,destabilizer
ETV7_+,0.0002914849866744473,6.575772602981692e-05,0.002305108990083669,0.0004949673669651901,1.6980887108944613,0,188,destabilizer
SCX_+,0.00028154351317472053,3.969605133219551e-05,0.003861018668689384,0.0006413268501234723,2.27789601903412,0,189,destabilizer
RORC_+,0.00026262383018823155,0.0002528825106647822,0.0016282087736947126,0.00028415461982986853,1.0819833773051812,0,190,destabilizer
PLAG1_+,0.00017824039361334269,4.631551538974838e-05,0.0014831830387015933,0.0002912117727245323,1.6338146768371933,0,191,destabilizer
FOXP3_+,0.00015036254543660256,1.1248625379907544e-05,0.0029156253478721575,0.00048211735968685924,3.2063660207439666,0,192,destabilizer
FOSL1_+,0.00014111891660187445,0.0,0.003710867399187593,0.0005075648598021684,3.596717353190828,0,193,destabilizer
HOXA6_+,6.767576498654147e-05,0.0,0.003999909265003524,0.0005119121829240495,7.5641874969815985,0,194,destabilizer
TCF7L1_+,6.222044944142675e-05,2.7240526079731113e-06,0.0010119239568862634,0.00018147283529541109,2.9166107607376848,0,195,destabilizer
TAL1_+,5.4619855734087106e-05,1.7270639852714028e-05,0.0016070484139573135,0.00020473037228341395,3.74827735781383,0,196,destabilizer
