regulon_clean,n_rg_pairs,n_unique_regions,n_unique_genes,mean_ct_breadth,max_ct_breadth,regulon,mean_RI,rank,stability_class
ZBTB40_+,506,471,299,43.51167728237792,64,ZBTB40_+,0.0016413758574088,91,intermediate
ZBTB4_+,112,105,98,28.323809523809523,61,ZBTB4_+,0.0018628419768315,77,intermediate
ZBTB7A_+,5767,4846,1241,21.921997523730912,63,ZBTB7A_+,0.0020381406530685,66,intermediate
ZBTB8A_+,84,81,54,20.938271604938272,62,ZBTB8A_+,3.380620205862784e-05,202,destabilizer
ZEB1_+,1167,1128,286,27.849290780141843,64,ZEB1_+,0.0052449204733085,7,stabilizer
ZEB2_+,723,658,431,18.803951367781156,62,ZEB2_+,0.0026623396444033,34,stabilizer
ZFY_+,29,26,11,45.42307692307692,63,ZFY_+,0.0010961207238828,143,intermediate
ZNF101_+,680,583,471,26.765008576329333,64,ZNF101_+,0.0042862241072661,9,stabilizer
ZNF107_+,100,91,68,35.2967032967033,62,ZNF107_+,0.0008791005035944,155,destabilizer
ZNF224_+,76,69,67,25.840579710144926,62,ZNF224_+,0.0020571479531291,62,intermediate
ZNF274_+,47,40,43,22.275,59,ZNF274_+,0.0015786215044772,96,intermediate
ZNF33A_+,361,327,283,23.091743119266056,62,ZNF33A_+,0.0020999867145988,59,intermediate
ZNF367_+,413,394,194,44.04314720812183,64,ZNF367_+,0.0003505200674057,185,destabilizer
ZNF467_+,1348,1212,372,18.89108910891089,62,ZNF467_+,0.001130314924768,140,intermediate
ZNF639_+,1210,1114,738,42.63644524236984,65,ZNF639_+,0.002922322667481,22,stabilizer
ZNF697_+,83,73,49,11.58904109589041,47,ZNF697_+,0.0003878633758932,184,destabilizer
ZNF770_+,458,432,263,40.210648148148145,64,ZNF770_+,0.000920411933039,153,destabilizer
ZNF783_+,545,509,189,35.141453831041254,64,ZNF783_+,0.0025250643573973,38,stabilizer
ZNF91_+,234,230,91,32.04782608695652,62,ZNF91_+,0.002437562393457,39,stabilizer
ZSCAN18_+,162,141,115,25.900709219858157,62,ZSCAN18_+,0.0006797833993278,168,destabilizer
