gene,is_ad_egene,is_drug_target,n_regulating_TFs,n_stabilizer_TFs,n_destabilizer_TFs,n_mapped_TFs,stabilizer_load,n_eqtl_celltypes,coupling_disruption
CD320,True,False,6,0,0,3,0.0,30,0.199110468536413
CERS4,True,False,12,0,1,10,0.0,8,0.19548609010858314
CFL1,True,False,23,5,0,9,0.5555555555555556,1,0.14823456735020737
CFL2,True,False,6,2,0,4,0.5,15,0.18815874810536187
CHD1L,True,False,6,0,0,4,0.0,7,0.07036023167528183
CIITA,True,False,28,1,10,26,0.038461538461538464,19,0.15814761796465254
CSF2RB,True,False,6,0,3,5,0.0,3,0.12428479635698426
CTSW,True,False,20,3,2,20,0.15,56,0.22229893781481208
CYTH4,True,False,22,2,1,12,0.16666666666666666,2,0.23680892196552353
DARS2,True,False,0,0,0,0,,1,0.18276135447982172
DEXI,True,False,4,2,0,2,1.0,8,0.14056471402255585
DIDO1,True,False,5,1,0,3,0.3333333333333333,1,0.2355060065106227
DIPK2A,True,False,9,1,1,6,0.16666666666666666,7,0.2098783716469572
DNAJC5,True,False,17,2,0,8,0.25,3,0.1895281928057122
DPF2,True,False,14,1,0,2,0.5,1,0.15467156144263675
DRAP1,True,False,24,3,0,15,0.2,4,0.0187334661301755
DYRK2,True,False,7,4,0,6,0.6666666666666666,2,0.12229815100718479
EFEMP2,True,False,2,0,0,1,0.0,4,0.1590843061450803
EIF1AD,True,False,11,4,0,6,0.6666666666666666,20,0.17265340840165805
EIF3D,True,False,20,5,0,11,0.45454545454545453,1,0.14467640492885742
ETS1,True,False,13,7,1,11,0.6363636363636364,2,0.16002738231949137
EVI5L,True,False,4,0,0,1,0.0,1,0.27383805617531704
EXOSC9,True,False,15,4,0,6,0.6666666666666666,3,0.17429297347666153
FAM177A1,True,False,13,4,0,6,0.6666666666666666,2,-0.10394640659359823
FAM89B,True,False,15,3,1,6,0.5,9,0.16879430936523399
FAU,True,False,8,5,0,6,0.8333333333333334,1,0.09093174391933251
FIBP,True,False,10,2,0,3,0.6666666666666666,20,0.20935929445657134
FLJ45513,True,False,0,0,0,0,,2,0.15449969683006143
FMO5,True,False,9,1,2,8,0.125,2,0.13876524237939697
GAS5,True,False,0,0,0,0,,1,
GNGT2,True,False,25,2,0,21,0.09523809523809523,7,0.161848382654203
GPR89B,True,False,6,2,0,3,0.6666666666666666,1,0.05276726454929397
HELZ2,True,False,5,0,0,4,0.0,6,0.20033867717191947
HSPA4,True,False,13,1,0,7,0.14285714285714285,2,0.1279861900500802
IFNG,True,False,16,7,1,15,0.4666666666666667,1,0.19067449898714903
IFNG-AS1,True,False,0,0,0,0,,9,0.12185663958342666
IFT27,True,False,4,0,0,0,,2,0.19443080346594516
IL13,False,True,0,0,0,0,,0,
IL13RA1,False,True,18,2,1,17,0.11764705882352941,0,
IL18R1,True,False,13,2,2,12,0.16666666666666666,23,0.19694575391662017
IL18RAP,True,False,14,2,2,14,0.14285714285714285,14,0.19565461409741525
IL1R1,True,False,4,0,0,3,0.0,1,0.15467156144263675
IL1R2,True,False,6,0,1,4,0.0,1,0.27383805617531704
IL1RL1,False,True,12,2,5,11,0.18181818181818182,0,
IL2RB,True,False,19,1,3,17,0.058823529411764705,3,0.4117883626885183
IL31RA,False,True,6,0,0,6,0.0,0,
IL33,False,True,0,0,0,0,,0,
IL4R,False,True,11,0,7,11,0.0,18,0.18624398673542975
IRF1,True,False,12,2,0,11,0.18181818181818182,28,0.22011730670895083
ITGA5,True,False,12,0,2,6,0.0,1,0.18276135447982172
JAK1,False,True,20,2,1,10,0.2,2,0.181649248868477
JAK2,False,True,13,0,0,12,0.0,1,0.14823456735020737
JAK3,False,True,3,3,0,3,1.0,27,0.17279033649659148
KCNK7,True,False,8,4,0,8,0.5,1,0.13965055667392404
KIAA1109,True,False,16,3,0,8,0.375,1,0.22859196711612878
KIF3A,True,False,10,3,0,7,0.42857142857142855,6,0.2107243625526656
LDLRAD3,True,False,14,1,0,13,0.07692307692307693,1,0.0946430095219523
LEAP2,True,False,5,3,0,3,1.0,2,0.1339028364695929
LIME1,True,False,13,6,0,11,0.5454545454545454,19,0.19201058641997434
LINC02384,True,False,0,0,0,0,,21,0.1928190103038636
LITAF,True,False,17,3,0,16,0.1875,10,0.18725077619935326
LKAAEAR1,True,False,6,0,0,4,0.0,1,0.0946430095219523
LTBP3,True,False,9,5,1,7,0.7142857142857143,23,0.18850787743236913
MAP3K11,True,False,20,0,0,15,0.0,32,0.20303540831257794
MARCH2,True,False,11,2,0,5,0.4,42,0.1897097618628186
MDM1,True,False,9,2,0,5,0.4,12,0.1793244300824568
MHENCR,True,False,0,0,0,0,,1,0.13965055667392404
MICALL1,True,False,8,1,0,3,0.3333333333333333,1,0.11632182342623633
MIR3936HG,True,False,0,0,0,0,,5,0.1452808774402734
MRGBP,True,False,12,0,0,2,0.0,1,0.19067449898714903
