gene,magnitude,uniformity,sparsity,gini,non_additivity,n_celltypes,mean_abs_beta,max_abs_beta
AC139530.1,0.5332211377166817,0.0,0.043478260869565216,0.08474249535458478,1.0,3,0.30303175,0.3797986
ZFP82,1.1011049866252853,0.0,0.10144927536231885,0.05327385692358555,1.0,7,0.4142288285714285,0.4722797
ZFPM1,1.4271012516814683,0.0,0.11594202898550725,0.16593361624430036,1.0,8,0.4836698325,0.7400584
AC245297.3,2.1431242973891007,0.0,0.30434782608695654,0.1280676203016453,1.0,21,0.4556563866666666,0.73685527
AC245407.2,5.60225744845978,0.0,0.5362318840579711,0.10699570281341897,1.0,37,0.9048362462162161,1.2314687
AC253572.2,2.544388887807625,0.0,0.6376811594202898,0.13237401063527865,1.0,44,0.3725062506818182,0.59512216
ACACB,1.4889777141564053,0.0,0.14492753623188406,0.13415418147619973,1.0,10,0.45799328,0.6452391
ACAD10,0.43200820214047153,0.0,0.043478260869565216,0.059540410700759994,1.0,3,0.24783813666666668,0.27595517
ACAD11,0.7970543528665323,0.0,0.07246376811594203,0.06693567090917063,1.0,5,0.35376592,0.40410563
ACAT1,0.9835988772516576,0.0,0.11594202898550725,0.11672190171527941,1.0,8,0.33943254125,0.49951583
ZBTB49,1.0012943526249876,0.0,0.07246376811594203,0.12838459830753335,1.0,5,0.43632025599999996,0.56381255
ZBTB6,0.5991748661078892,0.0,0.057971014492753624,0.08054581913703873,1.0,4,0.2963265925,0.34421188
ZBTB8OS,0.7089032351282692,0.0,0.043478260869565216,0.10370587392784247,1.0,3,0.4017563066666667,0.48437247
ZC3H11A,0.7028537721425335,0.0,0.043478260869565216,0.1368431756508901,1.0,3,0.39335366333333327,0.5234629
ZC3H3,0.9056450618231627,0.0,0.11594202898550725,0.06738582172296526,1.0,8,0.31755928375,0.40810832
ZC3HAV1,1.5609373495813121,0.0,0.2753623188405797,0.12170897937881509,1.0,19,0.34971373736842104,0.49763054
ZCCHC14,0.7135308471210604,0.0,0.057971014492753624,0.03940526696570035,1.0,4,0.3558169175,0.39619914
ZCCHC17,1.3447202935015357,0.0,0.14492753623188406,0.16105129360117165,1.0,10,0.396258647,0.8433428
ZDHHC14,1.4725104387331789,0.0,0.13043478260869565,0.17102513382215023,1.0,9,0.46923255777777784,0.7037831
Z93930.2,0.9570560682629248,0.0,0.08695652173913043,0.09412495914500596,1.0,6,0.385134135,0.47137213
ZADH2,2.750469270797988,0.0,0.5072463768115942,0.1257311380382442,1.0,35,0.45330692199999995,0.75360334
ZBED6CL,0.6113892276851045,0.0,0.043478260869565216,0.008794063406047492,1.0,3,0.35293279000000005,0.35835674
ZBTB1,1.2220114014510215,0.0,0.2318840579710145,0.05268505727943951,1.0,16,0.30403699624999997,0.34245604
ZBTB14,0.5102261777446058,0.0,0.043478260869565216,0.041503150076350526,1.0,3,0.2937265666666667,0.3209791
ACAT2,0.8174582857516364,0.0,0.057971014492753624,0.0482934037720526,1.0,4,0.40705263999999997,0.4611117
ACBD3,1.529091652917899,0.0,0.3188405797101449,0.10792921780085818,1.0,22,0.32025353636363635,0.4367134
ACER3,1.6690997534807055,0.0,0.2318840579710145,0.13469574627214942,1.0,16,0.403698135,0.65096414
ACP2,2.140726841224904,0.0,0.2898550724637681,0.10854694112483432,1.0,20,0.46897376399999996,0.755808
ACPP,1.2761195212757093,0.0,0.057971014492753624,0.16915136198903613,1.0,4,0.610138355,0.8274983
ACSF3,1.6335006892067951,0.0,0.21739130434782608,0.11873323635319766,1.0,15,0.4120733906666666,0.64275575
ACSL5,1.906626402288906,0.0,0.30434782608695654,0.17037833813949144,1.0,21,0.3957701133333333,0.6958653
ACSL6,1.1263445790563402,0.0,0.17391304347826086,0.09701141016430936,1.0,12,0.320493145,0.3930991
AC147651.1,1.3738149964595048,0.0,0.057971014492753624,0.13976998318292488,1.0,4,0.664541845,0.9385821
AC242426.2,1.6797718444944665,0.0,0.2028985507246377,0.14373526929868907,1.0,14,0.43114357285714283,0.80347437
YES1,1.090278953698621,0.0,0.11594202898550725,0.10939280821891884,1.0,8,0.37823015875,0.4688036
YIPF5,0.5968144122894217,0.0,0.057971014492753624,0.12361117796393906,1.0,4,0.290958355,0.36249217
YME1L1,0.46461939403951497,0.0,0.057971014492753624,0.13647327695002898,1.0,4,0.22457209250000001,0.32319087
YTHDC2,1.4677562940262403,0.0,0.2318840579710145,0.10277705332570553,1.0,16,0.36115057812499995,0.47972444
YWHAB,3.105542679956437,0.0,0.6811594202898551,0.07176521124688207,1.0,47,0.44932051851063826,0.595339
YWHAQ,1.3450943100341035,0.0,0.2608695652173913,0.09751816963914006,1.0,18,0.3125066905555556,0.40319562
YWHAZ,4.287631238591818,0.0,0.855072463768116,0.11529679391656544,1.0,59,0.5469010522033899,0.75243604
ACSM3,0.6953753911482692,0.0,0.057971014492753624,0.0365177994021022,1.0,4,0.34689381500000005,0.38074768
ACTA2,2.1190925641756175,0.0,0.15942028985507245,0.062328451622866377,1.0,11,0.6346491818181819,0.7388664
ACTR2,0.9028907396639125,0.0,0.2463768115942029,0.10631331736956318,1.0,17,0.21450964764705882,0.3435658
ACTR5,1.3492368628240223,0.0,0.2028985507246377,0.08978193689063363,1.0,14,0.3559626414285714,0.48424962
ACVR2A,1.1270674394591578,0.0,0.10144927536231885,0.06536906374894014,1.0,7,0.42286278714285713,0.5098601
ACVR2B,2.01041352359536,0.0,0.15942028985507245,0.1796924036820211,1.0,11,0.5765642154545454,0.9772638
ACYP2,3.100626721347455,0.0,0.5362318840579711,0.15291041443459807,1.0,37,0.4906816145945947,0.850163
Z82206.1,0.5771395167535747,0.0,0.043478260869565216,0.0280228605170314,1.0,3,0.33276101666666663,0.35191956
XXYLT1,0.9837208706433724,0.0,0.08695652173913043,0.11621377618596407,1.0,6,0.39297868500000005,0.4945256
XYLT1,1.2785725934222716,0.0,0.08695652173913043,0.18558893673540533,1.0,6,0.49519375666666665,0.7138783
ADAL,2.394116902331985,0.0,0.2608695652173913,0.13766329607733674,1.0,18,0.5456638544444445,0.948268
ADAM23,0.7692818766704764,0.0,0.043478260869565216,0.10322974377371374,1.0,3,0.43429623333333334,0.5657313
ADAM28,0.7647488336801073,0.0,0.07246376811594203,0.05688400983041175,1.0,5,0.339780674,0.4140219
ADAMTS6,1.240638796299757,0.0,0.07246376811594203,0.17035936823881692,1.0,5,0.5285225,0.828086
ADAMTSL4-AS1,0.8573392892058146,0.0,0.08695652173913043,0.10402085800004746,1.0,6,0.3439238866666667,0.45094043
ADAP1,1.407382986581765,0.0,0.2318840579710145,0.13748993243652796,1.0,16,0.34170072625000003,0.50577384
ADARB1,1.1425810657902604,0.0,0.10144927536231885,0.07343179112085219,1.0,7,0.4274819728571429,0.5583819
ADCY3,1.7526244393785226,0.0,0.2463768115942029,0.1353912679342002,1.0,17,0.4107087964705882,0.75039124
ADCY9,1.7540147526360659,0.0,0.14492753623188406,0.18825182727871792,1.0,10,0.525218589,0.7991629
ADD1,0.6005672231221991,0.0,0.07246376811594203,0.11436428283483036,1.0,5,0.26298127400000004,0.345366
YBEY,5.781704429344012,0.0,0.6956521739130435,0.13944188159898485,1.0,48,0.8108279297916666,1.2028859
YDJC,0.9951279111091196,0.0,0.07246376811594203,0.14003040183125726,1.0,5,0.4298056880000001,0.63869905
YEATS2,0.7281432261502429,0.0,0.057971014492753624,0.054276315210594506,1.0,4,0.36225866749999996,0.40458545
YEATS4,3.624681819117866,0.0,0.5797101449275363,0.13656902452417174,1.0,40,0.5575316774999999,0.8382138
WIPI1,1.080134859997404,0.0,0.11594202898550725,0.060709596009451916,1.0,8,0.379629055,0.44782752
WNK1,0.8322423342605626,0.0,0.18840579710144928,0.08806841068182258,1.0,13,0.2280971030769231,0.29176292
WSB1,1.4986469449836197,0.0,0.2753623188405797,0.1517633322712062,1.0,19,0.33156237263157895,0.5412075
ADD2,1.1168213913080767,0.0,0.08695652173913043,0.15330859197490976,1.0,6,0.43955369666666666,0.6326604
ADGRE2,1.0640146219899353,0.0,0.08695652173913043,0.11831886130687042,1.0,6,0.4246942283333333,0.58446264
ADGRG1,1.7169972588866547,0.0,0.2318840579710145,0.2133905658596127,1.0,16,0.401738238125,0.6911648
ADH5,0.8558270395072316,0.0,0.057971014492753624,0.21032041464718176,1.0,4,0.3995010875,0.6130982
ADI1,1.7720377050310208,0.0,0.2318840579710145,0.16923526228400498,1.0,16,0.419514335,0.85630697
