gene,n_celltypes,magnitude,uniformity,non_additivity,sparsity,gini
CYB5RL,8,1.456747270437451,0.32848938707036673,0.9176856015189513,0.8840579710144928,0.900436921835019
PIM3,6,0.5937014008073733,0.2945530108556891,0.9176655325895474,0.9130434782608696,0.9153492804928306
POLE4,10,1.132293055406286,0.347531324269541,0.9175810596854515,0.855072463768116,0.883936453281146
IL12RB2,7,1.0490458580845525,0.3140228770825536,0.9175159800746888,0.8985507246376812,0.9081609030887
PPP5C,8,1.1009906347319978,0.3282433393817259,0.9174838946896093,0.8840579710144928,0.9021492620376516
RNF144B,8,1.5684230797487133,0.32578982373666276,0.9172791368996807,0.8840579710144928,0.903328414088623
GNB5,8,1.0304064018170742,0.32821085302616054,0.9172710704510845,0.8840579710144928,0.8996956705245
ATL2,7,1.0094267872694351,0.3141856744905901,0.9172307659648729,0.8985507246376812,0.9080852000966281
GPR68,7,0.8322450093715373,0.31425740610388764,0.9171305219586349,0.8985507246376812,0.9077237834586263
SOS1,7,0.8264470600551731,0.3141243150103553,0.9171172842773401,0.8985507246376812,0.9076327468343995
PEA15,8,0.9166766361841108,0.32930246041248334,0.9170685531109176,0.8840579710144928,0.9014671963792199
CMPK1,7,0.6728934082266306,0.3143868796638876,0.9169656492398116,0.8985507246376812,0.9077941066761115
EML5,7,1.2804081282663733,0.31431225698199206,0.9169307252261663,0.8985507246376812,0.9077667097505834
REEP5,8,0.9208081617357669,0.3288413701301068,0.9168754485987773,0.8840579710144928,0.9017389564130123
AL021368.2,7,0.8336316659084986,0.3142319459138274,0.9168697105754994,0.8985507246376812,0.9074937101890413
RAD51D,8,1.7215408020638052,0.3292983108541216,0.9168185761006397,0.8840579710144928,0.9010280327712555
TMOD1,7,1.1421209600879518,0.31434554084597566,0.9167650275375511,0.8985507246376812,0.9079495168054516
KYAT3,7,0.8746344173252186,0.3144197201437388,0.91667999100646,0.8985507246376812,0.9077593906856776
SYDE2,7,1.0026558468728333,0.3145410872250828,0.9166376055043169,0.8985507246376812,0.9075929016991309
TANK,7,0.7052094904976977,0.31429990314263556,0.916569717770136,0.8985507246376812,0.9079503512534683
KLF4,8,0.7991844931941181,0.3278487022174426,0.9165087937826852,0.8840579710144928,0.9022843279803076
LTBP4,7,0.8567822735183511,0.3145096416480581,0.9164091381320725,0.8985507246376812,0.9077486643463641
TRDMT1,7,1.1317108618556537,0.3144592345263117,0.9163588671999441,0.8985507246376812,0.9077470039942233
NOTCH2NLC,7,0.7729625014601794,0.3146484236535247,0.9163135208696922,0.8985507246376812,0.9076028459324962
PLEKHA2,7,0.8221662908905657,0.31442238026274555,0.916312978947813,0.8985507246376812,0.9076715858981057
SCIMP,8,1.1126971678178181,0.32989225949275647,0.9162692663563127,0.8840579710144928,0.9007117916066283
ZNF605,7,1.1032152062175138,0.3140317219791859,0.9161670229431951,0.8985507246376812,0.9076757306964756
ATP11A,7,0.8435228189586216,0.31479763810900446,0.9160592536357802,0.8985507246376812,0.9072616399917163
RIN1,11,2.71723667217267,0.35645095564712415,0.9160522218298751,0.8405797101449275,0.885366308484696
CD300LF,8,1.2433516848949293,0.3258775493622776,0.9160351155619918,0.8840579710144928,0.9031063602672712
AC139768.1,8,1.2805454544806243,0.32855372490587476,0.9160022250053773,0.8840579710144928,0.8989928041050788
ECD,6,0.7746247305621977,0.2947496967787705,0.9159702711087564,0.9130434782608696,0.914505976627912
ARHGAP32,8,1.6533634617309811,0.32961584842681224,0.9159261004322049,0.8840579710144928,0.9011182828173682
AKR7A2,7,0.7647222214471552,0.3147479174675376,0.915925506354584,0.8985507246376812,0.9073689532771035
NINJ2,9,1.6368769784546846,0.3423897596634159,0.9157600226898241,0.8695652173913043,0.8932776626226088
EPC1,7,0.8016053688752157,0.31460587112970223,0.9157424662018554,0.8985507246376812,0.907540459287356
EPM2AIP1,7,0.7286486444657694,0.31458188310222407,0.9156478954738304,0.8985507246376812,0.9074942561644089
SEC22C,7,0.7095462759521671,0.3148640943872206,0.9156405611127751,0.8985507246376812,0.9071468795752707
ZSCAN9,7,0.8705128470815727,0.31469535037352925,0.9156176395161999,0.8985507246376812,0.907077465357836
DPAGT1,9,0.9227631118159476,0.340285270469272,0.9156055836807706,0.8695652173913043,0.8919056163818646
WDR18,8,0.9597969706621469,0.3301470048333719,0.9155821048583517,0.8840579710144928,0.8997139205668295
ZNF641,9,1.0633963865789413,0.34234252011190835,0.9155630672530483,0.8695652173913043,0.8927123502983401
AGL,7,0.7976911697218485,0.31477703102763377,0.9155200700904339,0.8985507246376812,0.9073500298758683
ARL11,9,1.7286912464475819,0.34273360725454033,0.9155029740909788,0.8695652173913043,0.8929661198374447
FAM32A,8,1.1213510363303003,0.3287045683155711,0.9154985859216865,0.8840579710144928,0.8990776912867111
FBXW7,9,0.890574806106366,0.34138016453943815,0.9154828480300463,0.8695652173913043,0.8913544896804121
TYSND1,7,0.8896300704261554,0.3148904009875747,0.9154643488262066,0.8985507246376812,0.9069479998210561
MLX,7,0.6608878043984339,0.3148973125391563,0.9153957549883214,0.8985507246376812,0.9070854469426685
MDFIC,8,0.6885339563719947,0.330219957710211,0.9153699958194252,0.8840579710144928,0.9001011460075855
EEPD1,7,1.0028779214811738,0.3149004832350735,0.915368333051565,0.8985507246376812,0.907157864740631
CBLN3,7,1.497261454921755,0.3148404313624301,0.9153500862887594,0.8985507246376812,0.9067108188477081
XCL1,8,2.1179325329871,0.32719323133971123,0.9153018436309616,0.8840579710144928,0.902179991389588
TMEM140,7,0.8811846214887535,0.31498610464311216,0.9152655555768957,0.8985507246376812,0.9071101614622794
INPP1,7,0.8301293000573426,0.3149751936822297,0.9151539010924462,0.8985507246376812,0.9066410753382869
NUP50,8,1.2849564364860975,0.3297475930508871,0.9150199840480295,0.8840579710144928,0.9009893013281142
ELMO1,7,0.9838801311141939,0.3146292232655559,0.9148771236462201,0.8985507246376812,0.9072187678658261
FMC1,7,0.8855812981875832,0.31479717296128173,0.9148604927419283,0.8985507246376812,0.9063738833446705
CCDC69,9,1.3878693600265204,0.34053217349865517,0.9148276842731948,0.8695652173913043,0.8940479719182677
SERINC5,9,1.0547191639933309,0.3431796173974933,0.9147995456936131,0.8695652173913043,0.8935307056926273
PARP9,7,0.7242754010320052,0.3152968096909721,0.9145587211997128,0.8985507246376812,0.9065420523803512
ZNF678,7,0.9648523715873409,0.3153041241973692,0.914540208594586,0.8985507246376812,0.9066236061563082
CAND1,8,0.9147933422431899,0.33034082050446734,0.9145169997580695,0.8840579710144928,0.8986455405992734
UBE2L3,7,0.7469812360619572,0.31533249077501135,0.9144642475917109,0.8985507246376812,0.9067256864340485
LMNB1,7,0.8243778372750383,0.31533487212755235,0.9143846781271862,0.8985507246376812,0.906605154978889
GALNS,7,0.8485174265338716,0.31527652175261367,0.9142952398956428,0.8985507246376812,0.9062885512396348
PRPSAP2,9,1.177003616723139,0.34237325793584744,0.9142667698686254,0.8695652173913043,0.8904983526513746
EVA1C,10,2.1823956663293043,0.3523058342955213,0.9142454240435359,0.855072463768116,0.8883628016443963
TERF1,9,1.547409969241485,0.3429743566214582,0.9142451284837293,0.8695652173913043,0.8930243269426396
CD24,7,1.2527372623559183,0.3145367363240439,0.9142333708551673,0.8985507246376812,0.9070604068356605
USP48,8,0.8470747003955196,0.33102743837504905,0.914231700433847,0.8840579710144928,0.899904933347822
UBE2D3,8,0.8724426728724154,0.32975321259726725,0.9141648404493509,0.8840579710144928,0.8981636511462551
LAMTOR5,11,2.042284936179889,0.36318199652720234,0.9141493533525292,0.8405797101449275,0.8788951301030502
ARL5B,7,0.9599325626319585,0.31549009132197664,0.9141007327339113,0.8985507246376812,0.906428039081318
NECAP2,8,1.094990415168736,0.33018332132704303,0.9140632918275698,0.8840579710144928,0.9003126681043796
CCDC124,7,1.059473916109217,0.3155153830126114,0.9140052067058967,0.8985507246376812,0.9063182331199793
PLPP6,7,0.78438657964062,0.314258274742642,0.9140011372428586,0.8985507246376812,0.905631303388663
RHOQ,9,1.3652190522951422,0.3436145036072021,0.913978708832128,0.8695652173913043,0.8925124962189737
OR4D1,7,0.969580253963816,0.31554075040651103,0.9139464831359566,0.8985507246376812,0.9062778226946291
TGFBI,8,1.382856783063821,0.3313680800659915,0.9139170027326698,0.8840579710144928,0.8990206720847236
ADGRE1,8,1.4237104488851038,0.33076155714075905,0.9138459393587943,0.8840579710144928,0.9000670593458421
FES,9,1.5367507747187807,0.34361083244008217,0.9138080997116896,0.8695652173913043,0.8923737148559354
ADARB1,7,1.1425810657902604,0.31528570239277126,0.913750171044071,0.8985507246376812,0.9060003266354492
TTC39C-AS1,8,2.5552668770500597,0.3306553404206079,0.9136828993642602,0.8840579710144928,0.9000364815440947
WDFY1,8,0.9866536434726197,0.33148252489002894,0.9136790369319643,0.8840579710144928,0.8995743168059109
FCRLA,9,1.2943777195408033,0.34398327503010395,0.9136507753278298,0.8695652173913043,0.8924067397209119
ZMAT3,8,1.0897539032194814,0.3303618669817708,0.9136415647939612,0.8840579710144928,0.9000359642571448
PUS3,7,1.0077687119510235,0.3153816708681029,0.9135955729385389,0.8985507246376812,0.9064526338519943
TRMT1L,7,0.798440514448177,0.31558650076177713,0.9135833301648553,0.8985507246376812,0.9059688678543117
DDX51,8,1.2145298197451508,0.33159056719696484,0.9135684141564137,0.8840579710144928,0.898761709548171
AC008267.5,8,1.3498966921240618,0.33157875523285435,0.913549530833366,0.8840579710144928,0.8984911183515704
SLC36A4,7,0.7974989912386734,0.3156228737723273,0.913511152955768,0.8985507246376812,0.9059285533811763
CEP104,8,1.0680949188008342,0.3295913619299793,0.9134502238509395,0.8840579710144928,0.8984563491552847
TPST2,7,0.6744786413371046,0.31579969101944666,0.9134033795295627,0.8985507246376812,0.9060282422100985
NDUFA7,7,0.9274410811797285,0.3156107113625459,0.9133791944737677,0.8985507246376812,0.9057487153629953
C1D,7,0.7674920111189937,0.3155528351500445,0.9133461419554446,0.8985507246376812,0.9058181887475413
CDC42SE1,8,1.113879075312719,0.32695011508216487,0.9132713215009447,0.8840579710144928,0.90153954738719
MMAB,7,1.1000760472488424,0.3153506025455877,0.9132321368975872,0.8985507246376812,0.9062556964043154
SCP2,10,0.9490369141408432,0.35350630934336685,0.9132056921384175,0.855072463768116,0.8824254957135553
GLO1,7,0.7164144075837995,0.3156540346937879,0.91311716179294,0.8985507246376812,0.9056130417103936
WDFY4,8,1.1634434082219542,0.3311665809960947,0.9131039277359055,0.8840579710144928,0.8995698893375237
NELFCD,8,0.9393627802179492,0.33112543261187927,0.9130913797731908,0.8840579710144928,0.8996858068986291
KLRC4,9,1.9496286668632632,0.3425951345009796,0.9130906025650214,0.8695652173913043,0.8940839115207072
BTN2A2,7,1.197047010477513,0.3159040252803105,0.913069185472029,0.8985507246376812,0.9058123450955822
FUCA1,10,1.5539990489368405,0.3537079652523938,0.9129850847572264,0.855072463768116,0.8858664743294271
SLK,8,0.7432643753977051,0.33153148137279037,0.91290136216741,0.8840579710144928,0.8991527146452034
LINC01857,7,1.6465998155083619,0.3158856523498152,0.912896877483703,0.8985507246376812,0.9057519782105428
AL356599.1,8,1.24269333794269,0.33174666068495173,0.9128543282044116,0.8840579710144928,0.898174831876556
PARK7,9,0.9249776834212691,0.34444514113601016,0.9128449515372776,0.8695652173913043,0.8924837375801786
PIGX,7,0.9241480618997809,0.3156111093496839,0.9128056975568622,0.8985507246376812,0.906033919673274
SCD5,8,2.35030034508545,0.33203015155975213,0.9127857237163577,0.8840579710144928,0.8989642675871208
AL513548.1,7,2.42935955752682,0.31589729921703447,0.9127570002911423,0.8985507246376812,0.905538914851747
MRPL55,7,0.6770598687385141,0.31607114489816646,0.9127128020966394,0.8985507246376812,0.905713646409594
PCP2,8,1.4954152178156093,0.3318073278042859,0.9126959159277658,0.8840579710144928,0.8980267523831521
